SNOMED Procedure,Count,% of Total
Injection of nerve root of lumbar spine using fluoroscopic guidance (procedure) (433217002),63,0.02
Magnetic resonance imaging of right wrist (procedure),62,0.02
Skeletal X-ray of ankle and foot (procedure),62,0.02
Computed tomography of left knee (procedure),62,0.02
Computed tomography angiography of renal artery (procedure) (419559003),61,0.02
Non-imaging isotope study of sentinel lymph node (procedure) (704499004),61,0.02
Videofluoroscopy swallow (procedure) (241149003),61,0.02
Computed tomography of neck and thorax with contrast (procedure),61,0.02
Placental localization (procedure) (164817009),60,0.02
Magnetic resonance imaging of pelvis with contrast (procedure),60,0.02
Radionuclide myocardial perfusion study (procedure) (252432008),60,0.02
Computed tomography guided biopsy (procedure) (277591006),59,0.02
Fine needle aspiration biopsy of neck using ultrasound guidance (procedure),59,0.02
Injection of foot using ultrasound guidance (procedure),59,0.02
Ureteroscopy (procedure) (387717002),58,0.02
Forefoot X-ray (procedure),58,0.02
Computed tomography of left shoulder (procedure),57,0.02
Digital tomosynthesis of left breast (procedure) (723779007),57,0.02
Ultrasound scan of spine (procedure) (241516003),56,0.02
Computed tomography angiography (procedure) (418272005),56,0.02
Ultrasound doppler scan of vertebral arteries (procedure),55,0.01
Upright stereotactic X-ray guided core needle biopsy of breast (procedure),55,0.01
Magnetic resonance imaging of pituitary fossa with contrast (procedure) (433132000),55,0.01
Computed tomography of head for radiotherapy planning (procedure) (429867000),55,0.01
Magnetic resonance imaging of pelvis and hip (procedure) (432672003),55,0.01
Magnetic resonance imaging of thoracic and lumbar spine (procedure),55,0.01
X-ray of hand and wrist for bone age (procedure) (428603007),55,0.01
Replacement of nephrostomy tube using fluoroscopic guidance (procedure),55,0.01
Fine needle aspiration using ultrasound guidance (procedure),55,0.01
Computed tomography venography (procedure) (431676002),55,0.01
Fluoroscopic arthrography of shoulder joint with contrast (procedure),55,0.01
Full mouth periapical radiographs (procedure),55,0.01
Computed tomography guided biopsy (procedure),54,0.01
Magnetic resonance imaging of left hip (procedure) (2391000087105),54,0.01
Magnetic resonance imaging of perfusion of heart under stress (procedure) (431299007),54,0.01
Compression ultrasonography of vein of upper limb (procedure),54,0.01
Magnetic resonance imaging of ankle (procedure) (241643001),54,0.01
Biopsy of neck using ultrasound guidance (procedure) (432217006),53,0.01
Replacement of permanent cardiac pacemaker using fluoroscopic guidance (procedure),53,0.01
Neck soft tissue X-ray (procedure),53,0.01
Ultrasonography of soft tissue (procedure) (438527007),53,0.01
Ultrasound scan of submandibular gland (procedure),53,0.01
Magnetic resonance imaging of breast (procedure),53,0.01
Nephrostomy using fluoroscopic guidance (procedure),53,0.01
Magnetic resonance imaging of right shoulder with contrast (procedure) (2611000087108),53,0.01
Doppler ultrasonography of aorta (procedure),52,0.01
Computed tomography venography of intracranial vein (procedure),52,0.01
Magnetic resonance imaging of right foot (procedure) (2291000087100),52,0.01
Injection of joint using fluoroscopic guidance (procedure),52,0.01
Cone beam computed tomography of teeth (procedure),52,0.01
Magnetic resonance imaging of liver and spleen (procedure),52,0.01
Computed tomography of whole spine (procedure) (429875006),52,0.01
Computed tomography of breast for radiotherapy planning (procedure) (429866009),52,0.01
Gynaecological magnetic resonance imaging of pelvis (procedure) (826591000000107),51,0.01
Water soluble contrast swallow (procedure) (241143002),51,0.01
"Computed tomography of head, neck, thorax, abdomen and pelvis with contrast (procedure)",51,0.01
Diagnostic radiography of skull (procedure) (42075002),51,0.01
Ultrasound scan of lower leg (procedure) (427253008),51,0.01
Injection of hip using fluoroscopic guidance (procedure),51,0.01
Magnetic resonance imaging of right ankle (procedure) (2071000087109),51,0.01
Computed tomography of hip (procedure),51,0.01
Magnetic resonance imaging of pelvis and prostate using contrast (procedure),50,0.01
Magnetic resonance imaging of scaphoid (procedure) (446060009),50,0.01
Insertion of drain into abdomen using ultrasound guidance (procedure),50,0.01
Radiography of sternum (procedure),49,0.01
Magnetic resonance imaging for measurement of brain volume (procedure),49,0.01
Thoracolumbar spine X-ray (procedure) (241093001),49,0.01
Radionuclide sentinel lymph node study (procedure) (433028008),49,0.01
Computed tomography of temporal bone (procedure),49,0.01
Fluoroscopic cystometrography (procedure),48,0.01
Computed tomography angiography of renal artery and abdominal artery (procedure),48,0.01
Fluoroscopic angiography of lower limb artery (procedure),48,0.01
Magnetic resonance imaging of temporomandibular joint (procedure),48,0.01
Extracorporeal shockwave lithotripsy of the kidney using fluoroscopic guidance (procedure) (431731009),48,0.01
Ultrasonography of upper limb (procedure),48,0.01
Magnetic resonance imaging of orbit with contrast (procedure) (433133005),48,0.01
Magnetic resonance imaging of right hip (procedure) (2411000087105),48,0.01
Ultrasound scan of parathyroid (procedure),48,0.01
Magnetic resonance imaging of prostate with contrast (procedure),47,0.01
Computed tomography of thoracic spine (procedure),47,0.01
Magnetic resonance imaging of lower leg (procedure) (241642006),47,0.01
X-ray of lumbar spine and sacroiliac joints (procedure),47,0.01
Magnetic resonance imaging of scaphoid (procedure),47,0.01
Magnetic resonance imaging of abdomen with contrast (procedure) (432369004),47,0.01
Ultrasound scan of right hip (procedure) (427472005),47,0.01
Computed tomography of hip (procedure) (241571002),46,0.01
Magnetic resonance imaging of small intestine with contrast (procedure),46,0.01
Nephrostomy using fluoroscopic guidance (procedure) (431410007),46,0.01
Computed tomography of petrous bones (procedure) (241522007),46,0.01
Water soluble contrast swallow (procedure),46,0.01
Magnetic resonance imaging of right wrist (procedure) (2671000087101),46,0.01
Fetal biophysical profile (procedure) (21623001),46,0.01
Biopsy of neck using ultrasound guidance (procedure),46,0.01
Fluoroscopic angiography of lower limb artery (procedure) (418994005),46,0.01
Magnetic resonance imaging of orbit with contrast (procedure),45,0.01
Peripheral dual energy X-ray photon absorptiometry scan (procedure),45,0.01
Ultrasonography with contrast (procedure),45,0.01
Ultrasound scan of gallbladder (procedure),45,0.01
Computed tomography of foot (procedure) (241576007),44,0.01
Plain x-ray of chest anteroposterior view (procedure),44,0.01
Aspiration using ultrasound guidance (procedure),44,0.01
Ultrasound scan of chest wall (procedure) (426827002),44,0.01
Magnetic resonance imaging of chest (procedure),44,0.01
Lithotripsy of ureter using fluoroscopic guidance (procedure) (912281000000109),43,0.01
Insertion of guide wire into breast using ultrasound guidance (procedure),43,0.01
Computed tomography angiography of pulmonary and abdominal and pelvic arteries (procedure),43,0.01
Magnetic resonance imaging of left foot (procedure) (2271000087104),43,0.01
Positron emission tomography fluorodeoxyglucose imaging of whole body (procedure) (432675001),43,0.01
Magnetic resonance imaging of paranasal sinuses (procedure),43,0.01
Digital tomosynthesis of right breast (procedure) (723778004),43,0.01
Magnetic resonance imaging of foot (procedure) (241644007),43,0.01
Diagnostic radiography of orbits (procedure),43,0.01
Computed tomography of liver with contrast (procedure),43,0.01
Replacement of permanent cardiac pacemaker using fluoroscopic guidance (procedure) (431846007),42,0.01
Renal isotope studies (procedure),42,0.01
Cardiac computed tomography for calcium scoring (procedure) (426005005),42,0.01
Injection of shoulder using ultrasound guidance (procedure) (432816007),42,0.01
Virtual computed tomography colonoscopy with radiopaque contrast (procedure),42,0.01
Full mouth periapical radiographs (procedure) (285569006),42,0.01
Electrocardiography gated computed tomography of thorax (procedure),42,0.01
Ultrasound scan of parotid gland (procedure) (241457008),42,0.01
Ultrasonography of pleural cavity (procedure),42,0.01
Insertion of temporary cardiac pacemaker using fluoroscopic guidance (procedure) (432113002),42,0.01
Fluoroscopic nephrostography (procedure) (419992002),41,0.01
Magnetic resonance imaging of left wrist (procedure) (2661000087105),41,0.01
Diagnostic Doppler ultrasonography (procedure) (8306009),41,0.01
Insertion of drain into abdomen using ultrasound guidance (procedure) (433043005),41,0.01
X-ray for colonic transit study (procedure),41,0.01
Ultrasonography of finger (procedure),41,0.01
Magnetic resonance imaging of heart (procedure) (241620005),40,0.01
Injection of hip using ultrasound guidance (procedure) (431979006),40,0.01
Ultrasonography of graft (procedure),40,0.01
Ultrasonography of cranial cavity (procedure),40,0.01
Replacement of nephrostomy tube using fluoroscopic guidance (procedure) (432075000),40,0.01
Aspiration of thyroid using ultrasound guidance (procedure),40,0.01
Computed tomography of left hip (procedure) (1331000087102),40,0.01
Screening mammography of left breast (procedure),39,0.01
Ultrasonography of perineum (procedure),39,0.01
Injection of ankle using fluoroscopic guidance (procedure),39,0.01
Computed tomography of orbit (procedure),39,0.01
Single photon emission computed tomography of bones of whole body (procedure),39,0.01
Injection of bilateral facet joints using fluoroscopic guidance (procedure),38,0.01
X-ray of soft tissue specimen (procedure),38,0.01
Ultrasound doppler scan of femoropopliteal artery (procedure) (418793009),38,0.01
Ultrasound scan of right hip (procedure),38,0.01
Ultrasonography of right inguinal region (procedure) (1081000087100),38,0.01
Biopsy of liver using ultrasound guidance (procedure) (438300009),38,0.01
Fluoroscopic angiography of aortic arch using contrast (procedure) (439088001),38,0.01
Diagnostic ultrasonography (procedure),38,0.01
Acromioclavicular joint X-ray (procedure),38,0.01
Magnetic resonance imaging of pancreas (procedure),37,0.01
Injection using fluoroscopic guidance (procedure),37,0.01
Core needle biopsy of axilla using ultrasound guidance (procedure) (432313008),37,0.01
Magnetic resonance imaging of left ankle (procedure) (2051000087103),37,0.01
Ultrasonography of right elbow (procedure),37,0.01
Computed tomography of face (procedure) (169067003),37,0.01
Single photon emission computed tomography of parathyroid (procedure),37,0.01
Gated single photon emission computed tomography of myocardium using technetium (99m-Tc) sestamibi (procedure),37,0.01
Drainage procedure using ultrasound guidance (procedure) (702768002),36,0.01
Computed tomography of thigh (procedure),36,0.01
Computed tomography of right hip (procedure) (1351000087106),36,0.01
Screening mammography of right breast (procedure),36,0.01
Single photon emission computed tomography with computed tomography of parathyroid (procedure),36,0.01
Positron emission tomography with computed tomography 18F fluorodeoxyglucose imaging of cranial vertex to mid-thigh (procedure) (1097781000000108),36,0.01
Obstetric umbilical artery Doppler (procedure),36,0.01
Ultrasonography of Achilles tendon (procedure) (241512001),36,0.01
X-ray of chest and abdomen (procedure),36,0.01
Fluoroscopic retrograde ureteropyelography (procedure) (431671007),36,0.01
Computed tomography of adrenals (procedure),36,0.01
Ultrasound scan of thigh (procedure) (425410009),36,0.01
Insertion of peripherally inserted central catheter using fluoroscopic guidance (procedure) (440447000),35,0.01
Fluoroscopy of hip (procedure),35,0.01
Ultrasonography of left thigh (procedure),35,0.01
Computed tomography of neck and thorax with contrast (procedure) (429927002),35,0.01
Fluoroscopic defecating proctography (procedure) (418253005),35,0.01
Percutaneous aspiration of thrombus using fluoroscopic guidance (procedure) (431802004),35,0.01
Magnetic resonance imaging of lumbar and sacral spine with contrast (procedure),34,0.01
Insertion of implantable venous access port using fluoroscopic guidance (procedure),34,0.01
Computed tomography of heart (procedure),34,0.01
Magnetic resonance imaging of craniofacial structure (procedure),34,0.01
Ultrasonography of right thigh (procedure),34,0.01
Computerized tomography of abdomen with contrast (procedure) (32962002),34,0.01
Magnetic resonance imaging venography (procedure),34,0.01
Insertion of dialysis catheter using doppler ultrasound guidance (procedure),34,0.01
Magnetic resonance imaging of paranasal sinuses (procedure) (241609005),34,0.01
Primary percutaneous coronary intervention using fluoroscopic guidance (procedure) (914231000000100),33,0.01
Acromioclavicular joint X-ray (procedure) (168633004),33,0.01
Magnetic resonance imaging of spinal cord (procedure),33,0.01
Magnetic resonance imaging of liver (procedure),33,0.01
Aspiration using ultrasound guidance (procedure) (432557008),33,0.01
Fluoroscopic angioplasty of superficial femoral artery (procedure) (419415009),32,0.01
Ultrasonography of left inguinal region (procedure) (1071000087102),32,0.01
Diagnostic radiography of scapula (procedure),32,0.01
Radionuclide renal study with diuretic (procedure),32,0.01
Computed tomography of thoracic aorta with contrast (procedure),32,0.01
Magnetic resonance imaging of chest (procedure) (6007000),32,0.01
Ultrasound obstetric doppler (procedure) (418090003),32,0.01
Magnetic resonance imaging of craniofacial structure with contrast (procedure),32,0.01
Computed tomography of prostate for radiotherapy planning (procedure) (429856001),32,0.01
Ultrasonography of left thigh (procedure) (1241000087104),32,0.01
Repair of heart valve using fluoroscopic guidance (procedure) (432632007),32,0.01
Doppler ultrasonography (procedure),31,0.01
Repair of fracture of hip by nailing using fluoroscopic guidance (procedure) (432768005),31,0.01
Computed tomography of head and neck (procedure) (429858000),31,0.01
Injection of foot using ultrasound guidance (procedure) (432106002),31,0.01
Computed tomography of thoracic spine (procedure) (241579000),31,0.01
Intravascular ultrasound scan (procedure),31,0.01
Computed tomography of lower leg (procedure),31,0.01
Neck soft tissue X-ray (procedure) (168719007),31,0.01
Transthoracic three dimensional ultrasonography of heart (procedure) (434158009),31,0.01
Ultrasound scan of elbow (procedure) (241498001),30,0.01
Computerized tomography of right ankle (procedure) (426707009),30,0.01
Ultrasonography of craniofacial soft tissue (procedure) (352871000000108),30,0.01
Computed tomography of maxilla (procedure),30,0.01
Computed tomography of left knee (procedure) (1411000087101),30,0.01
Biopsy of lung using computed tomography guidance (procedure),30,0.01
Injection of hand using fluoroscopic guidance (procedure),30,0.01
Single photon emission computed tomography of perfusion of lung (procedure),30,0.01
Magnetic resonance imaging of lumbar spine (procedure) (241648005),30,0.01
X-ray of abdomen using mobile image intensifier (procedure) (432778008),30,0.01
Computed tomography triple phase study of liver (procedure) (438591004),29,0.01
Magnetic resonance imaging of right femur (procedure),29,0.01
Computed tomography of adrenal gland with contrast (procedure),29,0.01
Ultrasound scan of parathyroid (procedure) (241454001),29,0.01
Magnetic resonance imaging of temporal lobe (procedure) (447334006),29,0.01
Radionuclide imaging of myocardium using technetium (99m-Tc) sestamibi with cardiac stress test (procedure),29,0.01
Magnetic resonance imaging of kidneys (procedure) (241624001),29,0.01
Magnetic resonance imaging of internal auditory meatus with contrast (procedure),29,0.01
Ultrasonography of left elbow (procedure),29,0.01
Ultrasound doppler flow mapping of vein of upper limb (procedure),29,0.01
Magnetic resonance imaging of brachial plexus (procedure),29,0.01
X-ray of cervical spine using mobile image intensifier (procedure) (431557005),29,0.01
"Computed tomography of neck, thorax and abdomen with contrast (procedure) (433270008)",29,0.01
Magnetic resonance imaging of left femur (procedure),28,0.01
Computed tomography of right shoulder (procedure) (1511000087102),28,0.01
X-ray of both ankles (procedure) (425703002),28,0.01
Magnetic resonance imaging of cervical and thoracic spine (procedure),28,0.01
Radiography of sternum (procedure) (23394003),28,0.01
Ultrasonography of left axilla (procedure) (911000087107),28,0.01
Magnetic resonance imaging for cardiac morphology and function (procedure) (449876000),28,0.01
Fluoroscopic angioplasty of iliac artery (procedure) (418269003),28,0.01
Fluoroscopic defecating proctography (procedure),28,0.01
Single photon emission computed tomography with computed tomography of bone (procedure),28,0.01
Ultrasound scan of buttock (procedure) (425848005),28,0.01
Positron emission tomography with computed tomography of brain using fluorodeoxyglucose (18-F) (procedure) (764665003),28,0.01
Ultrasound skull scan (procedure) (169238009),28,0.01
Magnetic resonance imaging for measurement of brain volume with contrast (procedure),28,0.01
Transthoracic ultrasonography of heart with contrast (procedure) (434167009),28,0.01
Ultrasonography of hand and wrist (procedure),28,0.01
Magnetic resonance imaging of thoracic aorta (procedure) (241666000),28,0.01
C14 urea breath test (procedure),28,0.01
"Computed tomography of neck, thorax and abdomen with contrast (procedure)",28,0.01
Doppler ultrasonography of aorta (procedure) (433223007),28,0.01
Contrast enhanced spectral mammography (procedure),27,0.01
Computed tomography for radiotherapy planning (procedure) (430447002),27,0.01
Fluoroscopy of hip (procedure) (418880005),27,0.01
Magnetic resonance imaging of right shoulder (procedure) (2601000087106),27,0.01
Magnetic resonance arthrography of left shoulder (procedure),27,0.01
Injection of nerve root of lumbar spine using fluoroscopic guidance (procedure),27,0.01
"Computerized axial tomography of elbow, right (procedure)",27,0.01
Magnetic resonance imaging of pancreas with contrast (procedure),27,0.01
Insertion of tunneled central venous catheter using fluoroscopic guidance (procedure),27,0.01
Computed tomography of right knee (procedure) (1421000087109),27,0.01
Ultrasonography of bilateral axillae (procedure),27,0.01
Magnetic resonance imaging of internal auditory meatus with contrast (procedure) (431625000),27,0.01
Prone stereotactic X-ray guided vacuum assisted biopsy of breast (procedure) (307971000000105),27,0.01
Computed tomography of left shoulder (procedure) (1491000087107),26,0.01
Injection of hand using ultrasound guidance (procedure) (432147004),26,0.01
X-ray tomography (procedure),26,0.01
Fluoroscopic angioplasty of superficial femoral artery (procedure),26,0.01
Antegrade insertion of ureteric stent using fluoroscopic guidance (procedure),26,0.01
Computed tomography of thigh (procedure) (241572009),26,0.01
Magnetic resonance imaging of right hand (procedure),26,0.01
Fluoroscopy of left lower limb (procedure),26,0.01
Computed tomography of ankle (procedure) (241575006),26,0.01
"Computerized axial tomography of elbow, left (procedure)",26,0.01
Ultrasound scan of left hip (procedure) (426100003),26,0.01
Fluoroscopic arthrography of hip joint with contrast (procedure),26,0.01
Computed tomography of face (procedure),26,0.01
Ultrasonography of artery (procedure) (431201002),26,0.01
Injection using computed tomography guidance (procedure) (431864000),26,0.01
Magnetic resonance imaging of shoulder (procedure) (241633004),26,0.01
Ultrasound doppler scan of femoropopliteal artery (procedure),25,0.01
X-ray for colonic transit study (procedure) (418181007),25,0.01
Core needle biopsy using ultrasound guidance (procedure),25,0.01
Percutaneous transhepatic cholangiogram (procedure),25,0.01
Magnetic resonance imaging of hip (procedure) (241639000),25,0.01
Magnetic resonance imaging of liver and spleen (procedure) (432551009),25,0.01
Barium meal (procedure),25,0.01
Magnetic resonance imaging of right elbow (procedure),25,0.01
Fluoroscopic angioplasty of infrapopliteal artery (procedure) (419218008),25,0.01
Magnetic resonance imaging venography of intracranial veins (procedure),25,0.01
Magnetic resonance imaging of left elbow (procedure),25,0.01
Ultrasound elastography of liver (procedure),25,0.01
Magnetic resonance imaging of pelvis and hip (procedure),25,0.01
Radionuclide imaging of thyroid using technetium (99m-Tc) sodium pertechnetate (procedure),25,0.01
Doppler ultrasonography of artery of upper limb (procedure),25,0.01
Pulmonary perfusion study (procedure),25,0.01
Ultrasonography of forearm (procedure),25,0.01
Ultrasonography of arteriovenous fistula (procedure),24,0.01
"Radiologic examination, osseous survey, complete (procedure) (45732007)",24,0.01
X-ray of cervical spine using mobile image intensifier (procedure),24,0.01
Aspiration of thyroid using ultrasound guidance (procedure) (438819006),24,0.01
Radionuclide imaging of hepatobiliary region with gallbladder stimulation (procedure),24,0.01
Ultrasound scan of left hip (procedure),24,0.01
Magnetic resonance imaging of left femur (procedure) (2231000087101),24,0.01
Radionuclide imaging with computed tomography attenuation correction (procedure),24,0.01
Ultrasound doppler scan of iliac and femoral arteries (procedure) (417912007),24,0.01
Insertion of marker into breast using X-ray guidance (procedure),24,0.01
Mandibular occlusal X-ray (procedure) (241050001),24,0.01
Ultrasonography of urinary bladder for flow rate (procedure),24,0.01
Computed tomography of spine for radiotherapy planning (procedure) (430438005),24,0.01
Magnetic resonance imaging of sacral spine (procedure),24,0.01
Dental X-ray bitewing (procedure),23,0.01
Speech video fluoroscopy (procedure) (830021000000102),23,0.01
Computerized axial tomography of pelvis with contrast (procedure),23,0.01
Computed tomography of adrenals (procedure) (241550007),23,0.01
Diffusion weighted magnetic resonance imaging (procedure),23,0.01
Computed tomography of whole spine (procedure),23,0.01
Computed tomography of abdominal aorta with contrast (procedure),23,0.01
Computerized tomography of left ankle (procedure) (426817008),23,0.01
Water soluble contrast enema (procedure),23,0.01
Ultrasonography of graft (procedure) (431895007),23,0.01
Embolization using fluoroscopic guidance (procedure) (432691003),23,0.01
Computed tomography of neck (procedure) (169068008),23,0.01
Diagnostic radiography of sacrum (procedure) (57235004),23,0.01
Magnetic resonance arthrography of right shoulder (procedure),23,0.01
Percutaneous coronary intervention (procedure) (415070008),23,0.01
Magnetic resonance imaging of base of skull (procedure),23,0.01
Fluoroscopic arthrography of shoulder joint with contrast (procedure) (432603009),22,0.01
Radionuclide iodine 131 therapy for thyrotoxicosis (procedure),22,0.01
Magnetic resonance imaging of parotid gland (procedure),22,0.01
Magnetic resonance imaging of brachial plexus (procedure) (241618007),22,0.01
Computed tomography of pancreas (procedure) (241551006),22,0.01
Magnetic resonance imaging of thoracic spine with contrast (procedure),22,0.01
Diagnostic radiography of scapula (procedure) (49626003),22,0.01
Computed tomography of lower leg (procedure) (241574005),22,0.01
Computed tomography angiography of thoracic aorta with contrast (procedure),22,0.01
Retrograde insertion of ureteric stent using fluoroscopic guidance (procedure) (431221001),22,0.01
Endoanal ultrasound examination of rectal sphincter (procedure) (431553009),22,0.01
Subclavian venography (procedure),21,0.01
Magnetic resonance imaging of thoracic spine with contrast (procedure) (91333005),21,0.01
Magnetic resonance imaging venography of cerebral veins (procedure) (419701008),21,0.01
Upright stereotactic X-ray guided vacuum assisted biopsy of breast (procedure),21,0.01
Fluoroscopic cystography (procedure),21,0.01
Fluoroscopy - cervical column (procedure) (168999000),21,0.01
Magnetic resonance imaging of kidneys (procedure),21,0.01
Computed tomography of liver with contrast (procedure) (429862006),21,0.01
Computed tomography of pancreas (procedure),21,0.01
Diagnostic radiography for foreign body detection and localization (procedure) (66596009),21,0.01
Magnetic resonance imaging venography of cerebral veins (procedure),21,0.01
Magnetic resonance imaging of nasal sinuses with contrast (procedure),21,0.01
Ultrasound scan of submandibular gland (procedure) (241458003),21,0.01
Skeletal X-ray of wrist and hand (procedure) (39714003),21,0.01
Magnetic resonance imaging of left hand (procedure),21,0.01
Computed tomography angiography of renal artery and abdominal artery (procedure) (339901000000104),21,0.01
Ultrasonography of multiple pregnancy for fetal anomaly (procedure),21,0.01
Ultrasonography to determine estimated date of confinement (procedure) (866481000000104),21,0.01
Fluoroscopic cystography (procedure) (418135007),21,0.01
Ultrasound scan of chest wall (procedure),21,0.01
Insertion of magnetic marker into left breast using ultrasonographic guidance (procedure) (1104451000000105),21,0.01
Injection of hip using ultrasound guidance (procedure),21,0.01
Foraminal epidural injection of lumbar spine using fluoroscopic guidance (procedure),21,0.01
Insertion of gastrostomy tube using fluoroscopic guidance (procedure),20,0.01
Insertion of nasojejunal feeding tube using fluoroscopic guidance (procedure) (431722009),20,0.01
Ultrasound scan of transplant kidney (procedure),20,0.01
Ultrasound study of eye (procedure),20,0.01
Ultrasound doppler scan of iliac and femoral arteries (procedure),20,0.01
Percutaneous thrombectomy of cerebral artery using fluoroscopic guidance (procedure) (439541007),20,0.01
Computed tomography of paranasal sinuses with contrast (procedure),20,0.01
Aspiration of abdomen using ultrasound guidance (procedure),20,0.01
Doppler ultrasonography of multiple pregnancy (procedure),20,0.01
Computed tomography of entire aorta with contrast (procedure),20,0.01
Radionuclide venous blood pool study (procedure),20,0.01
Magnetic resonance imaging of cervical spine with contrast (procedure) (60443006),20,0.01
Endoscopic retrograde cholangiopancreatography with removal of biliary calculus using fluoroscopic guidance (procedure),20,0.01
Single photon emission computed tomography with computed tomography of entire bony skeleton (procedure),20,0.01
X-ray guided core needle biopsy of breast (procedure),20,0.01
Magnetic resonance imaging of adrenals (procedure),20,0.01
Computed tomography of wrist (procedure) (241568005),20,0.01
Ultrasound scan of upper arm (procedure) (427043003),19,0.01
Fluoroscopy of abdomen (procedure),19,0.01
Cardiac ablation using fluoroscopy guidance (procedure),19,0.01
Magnetic resonance imaging of thoracic aorta (procedure),19,0.01
Measurement of cervical length using transvaginal obstetric ultrasonography (procedure) (431941001),19,0.01
Insertion of cardiac pressure wire using fluoroscopic guidance (procedure) (431558000),19,0.01
Ultrasound scan of upper arm (procedure),19,0.01
Computed tomography of left wrist (procedure) (2021000087105),19,0.01
Computed tomography of mandible (procedure) (419978008),19,0.01
Magnetic resonance imaging of right femur (procedure) (2251000087105),19,0.01
Implantation of cardiac biventricular permanent pacemaker using fluoroscopic guidance (procedure),19,0.01
Fluoroscopic angioplasty of infrapopliteal artery (procedure),19,0.01
Fluoroscopic fistulography (procedure) (419306001),19,0.01
Ultrasound scan of salivary glands (procedure) (241456004),19,0.01
Doppler ultrasonography of liver and portal system (procedure),19,0.01
Ultrasonography of right thigh (procedure) (1251000087101),19,0.01
Ultrasound doppler flow mapping of vein of lower limb (procedure),19,0.01
"Radiologic examination, osseous survey, complete (procedure)",19,0.01
Marking of skin of breast using ultrasound guidance (procedure),19,0.01
Magnetic resonance imaging of right elbow (procedure) (2211000087106),19,0.01
Magnetic resonance imaging of head for stereotactic planning (procedure),19,0.01
Computed tomography of brain perfusion (procedure) (433111008),19,0.01
Radiography of sacrococcygeal spine (procedure),19,0.01
Computed tomography of orbit with contrast (procedure),18,0.0
Kidney imaging with function study (procedure) (386206008),18,0.0
Sphincterotomy of sphincter of Oddi by endoscopic retrograde cholangiopancreatography (procedure),18,0.0
Ultrasonography of right axilla (procedure) (921000087104),18,0.0
Computed tomography venography of cerebral vein (procedure),18,0.0
X-ray of lumbar spine and pelvis (procedure),18,0.0
Endoscopic ultrasonography (procedure),18,0.0
Computed tomography angiography of abdominal artery (procedure),18,0.0
Insertion of nasojejunal feeding tube using fluoroscopic guidance (procedure),18,0.0
Retrograde percutaneous pyeloplasty using fluoroscopic guidance (procedure),18,0.0
Injection of joint using fluoroscopic guidance (procedure) (431700002),18,0.0
Magnetic resonance imaging of temporal lobe (procedure),18,0.0
Doppler ultrasonography of temporal artery (procedure),18,0.0
Biopsy of thorax using computed tomography guidance (procedure) (440491000),18,0.0
Magnetic resonance imaging of hip (procedure),18,0.0
Fluoroscopic angiography of coronary graft using contrast (procedure) (431675003),18,0.0
Percutaneous transluminal angioplasty of dialysis fistula using fluoroscopic guidance (procedure),17,0.0
Injection of foot using fluoroscopic guidance (procedure) (431820008),17,0.0
Pleural phase computed tomography of thorax with contrast (procedure) (1111431000000104),17,0.0
Computed tomography of knee (procedure) (241573004),17,0.0
Computed tomography of small intestine (procedure),17,0.0
Computed tomography of mastoid (procedure),17,0.0
Magnetic resonance imaging angiography of renal artery (procedure),17,0.0
Positron emission tomography with computed tomography of whole body using fluorocholine (18-F) (procedure) (764692009),17,0.0
Insertion of nasogastric feeding tube using fluoroscopic guidance (procedure),17,0.0
Doppler ultrasonography flow mapping of vein (procedure),17,0.0
Fluoroscopic retrograde ureteropyelography (procedure),17,0.0
Percutaneous insertion of stent using mobile image intensifier guidance (procedure),17,0.0
Dual energy X-ray photon absorptiometry scan of forearm (procedure),17,0.0
Single photon emission computed tomography brain dopamine D2 receptor study using 123I-iodobenzamide (procedure),17,0.0
Radioisotope imaging dopamine receptor site of brain (procedure),17,0.0
Cardioversion using fluoroscopic guidance (procedure),17,0.0
Endoanal ultrasound examination (procedure),17,0.0
Injection of sacroiliac joint using fluoroscopic guidance (procedure),17,0.0
Single photon emission computed tomography of ventilation of lung (procedure) (441624004),17,0.0
Magnetic resonance imaging of trigeminal nerve with contrast (procedure),17,0.0
Flexible fiberoptic sigmoidoscopy (procedure),17,0.0
Fluoroscopic venography of upper limb (procedure),17,0.0
Computed tomography of breast for radiotherapy planning (procedure),17,0.0
Removal of calculus from bile duct using fluoroscopic guidance (procedure),17,0.0
Magnetic resonance imaging of nasal sinuses with contrast (procedure) (432368007),17,0.0
Fluoroscopic angiography of iliac artery (procedure),17,0.0
Fluoroscopy of left upper limb (procedure),17,0.0
Antegrade insertion of ureteric stent using fluoroscopic guidance (procedure) (431219006),16,0.0
Injection of shoulder using fluoroscopic guidance (procedure),16,0.0
Mandibular occlusal X-ray (procedure),16,0.0
Venoplasty using fluoroscopic guidance (procedure) (431581003),16,0.0
Radionuclide imaging of kidney using technetium (99m-Tc) succimer (procedure) (764416003),16,0.0
Injection of radioactive tracer into breast using ultrasound guidance (procedure),16,0.0
Fluoroscopic hysterosalpingography (procedure) (418120006),16,0.0
Pulmonary perfusion study (procedure) (66088009),16,0.0
Fluoroscopy of right lower limb (procedure),16,0.0
Ultrasonography of forearm (procedure) (426019005),16,0.0
Defecating proctogram using magnetic resonance imaging (procedure),16,0.0
Computed tomography of neck and thorax (procedure),16,0.0
Magnetic resonance arthrography of right hip (procedure),16,0.0
